Experiment;Runs;Death Costs;Avg. Cost;Avg. Deaths;Avg. Interventions
PostShielded;1500;10;27.5113;0;1.641
PreShielded;3000;-;22.2025;0;1.052
NoShield;3000;1000;22.2623;7e-05;0
NoShield;3000;100;22.7082;0.0002;0
NoShield;3000;10;20.4076;0.02464;0
PostShielded;3000;1000;23.0941;0;0.771
PostShielded;3000;100;24.9922;0;1.283
PostShielded;3000;10;21.5199;0;0.765
PreShielded;6000;-;21.0281;0;0.732
NoShield;6000;1000;22.0228;0;0
NoShield;6000;100;21.4856;0.00214;0
NoShield;6000;10;20.5115;0.01153;0
PostShielded;6000;1000;22.2324;0;0.933
PostShielded;6000;100;23.3612;0;0.797
PostShielded;6000;10;21.2144;0;0.975
PreShielded;12000;-;21.3282;0;0.842
NoShield;12000;1000;21.4486;0.00017;0
NoShield;12000;100;21.5639;0;0
NoShield;12000;10;20.3989;0.0254;0
PostShielded;12000;1000;21.7199;0;0.926
PostShielded;12000;100;22.2302;0;0.782
PostShielded;12000;10;21.2249;0;1.024
Layabout;0;-;26.9845;0;2.886
PreShielded;1500;-;25.4877;0;0.785
NoShield;1500;1000;28.0954;0;0
NoShield;1500;100;27.0327;0.00026;0
NoShield;1500;10;21.221;0.03918;0
PostShielded;1500;1000;28.1462;0;1.316
PostShielded;1500;100;27.0446;0;0.942
PostShielded;1500;10;21.6294;0;0.913
PreShielded;3000;-;21.0678;0;0.687
NoShield;3000;1000;26.1302;0;0
NoShield;3000;100;23.8057;0.00209;0
NoShield;3000;10;20.2475;0.01227;0
PostShielded;3000;1000;27.2782;0;0.681
PostShielded;3000;100;24.2377;0;0.835
PostShielded;3000;10;21.9546;0;1.167
PreShielded;6000;-;21.3063;0;0.781
NoShield;6000;1000;22.0274;0;0
NoShield;6000;100;22.9068;0;0
NoShield;6000;10;20.8082;0.00071;0
PostShielded;6000;1000;22.5493;0;0.824
PostShielded;6000;100;23.6917;0;0.911
PostShielded;6000;10;21.7998;0;1.02
PreShielded;12000;-;21.0187;0;0.697
NoShield;12000;1000;21.3273;0;0
NoShield;12000;100;20.489;0.00029;0
NoShield;12000;10;20.1788;0.00036;0
PostShielded;12000;1000;22.0231;0;0.532
PostShielded;12000;100;21.8428;0;1.097
PostShielded;12000;10;21.1692;0;1.036
